Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
189058,Innovate Industries,Social Media,Women 35-44,30 days,Email,0.08,6211.0,7.8,New York,Spanish,755,6309,1,Tech Enthusiasts,2021-12-19
188902,Alpha Innovations,Email,Women 25-34,45 days,Google Ads,0.12,6866.0,6.94,Miami,German,874,4032,5,Outdoor Adventurers,2021-07-16
167030,Alpha Innovations,Email,Men 18-24,30 days,Instagram,0.06,9793.0,7.02,Chicago,English,938,9950,9,Fashionistas,2021-08-13
134553,NexGen Systems,Email,Women 25-34,60 days,Instagram,0.02,10959.0,7.0,Los Angeles,French,782,7930,1,Health & Wellness,2021-08-21
92597,Alpha Innovations,Influencer,Men 25-34,15 days,Google Ads,0.09,12530.0,2.53,Houston,English,942,4026,8,Outdoor Adventurers,2021-09-09
178490,NexGen Systems,Search,Women 25-34,30 days,Facebook,0.02,8563.0,6.81,New York,German,455,6232,5,Foodies,2021-01-05
190727,Innovate Industries,Email,Women 25-34,30 days,YouTube,0.09,10576.0,5.18,Houston,English,285,8429,1,Fashionistas,2021-07-16
28291,Alpha Innovations,Search,Women 25-34,15 days,Google Ads,0.02,10633.0,7.43,New York,French,934,9479,10,Health & Wellness,2021-07-05
100164,Alpha Innovations,Social Media,Men 18-24,45 days,YouTube,0.09,15097.0,6.06,Los Angeles,Spanish,333,1359,8,Fashionistas,2021-06-03
112904,DataTech Solutions,Search,Women 25-34,60 days,Google Ads,0.06,15613.0,6.35,Miami,Mandarin,965,5746,2,Fashionistas,2021-04-29
180473,TechCorp,Influencer,Men 25-34,30 days,Facebook,0.1,6894.0,6.0,Houston,French,999,9781,5,Foodies,2021-06-12
170637,Alpha Innovations,Search,Men 18-24,45 days,Google Ads,0.02,6119.0,6.63,New York,German,589,1151,5,Health & Wellness,2021-07-01
88987,NexGen Systems,Social Media,All Ages,60 days,Instagram,0.12,19041.0,4.08,Miami,German,979,5905,3,Fashionistas,2021-10-19
146322,Alpha Innovations,Social Media,Women 35-44,45 days,Email,0.02,14941.0,3.52,Los Angeles,Spanish,937,4296,3,Tech Enthusiasts,2021-11-18
137860,TechCorp,Display,Women 25-34,60 days,YouTube,0.13,10754.0,4.78,Houston,German,497,3196,2,Health & Wellness,2021-09-12
143391,Alpha Innovations,Social Media,Men 25-34,60 days,Instagram,0.13,11927.0,4.7,Chicago,Spanish,411,3831,6,Health & Wellness,2021-11-07
171679,Innovate Industries,Social Media,All Ages,15 days,YouTube,0.01,14526.0,6.66,Chicago,Spanish,429,7998,4,Health & Wellness,2021-05-09
164775,DataTech Solutions,Display,Women 35-44,30 days,YouTube,0.11,8953.0,6.19,New York,English,592,8384,1,Outdoor Adventurers,2021-06-09
171403,TechCorp,Influencer,Women 35-44,15 days,Google Ads,0.12,6853.0,3.83,Miami,Spanish,109,4575,4,Tech Enthusiasts,2021-08-06
182092,Innovate Industries,Email,Men 18-24,15 days,Instagram,0.02,17875.0,3.77,Miami,French,423,4445,9,Foodies,2021-11-18
31930,TechCorp,Display,Women 35-44,60 days,YouTube,0.08,17084.0,7.3,Los Angeles,Spanish,724,8216,7,Foodies,2021-06-24
78447,Alpha Innovations,Search,Women 35-44,60 days,Website,0.02,12527.0,4.7,New York,Spanish,663,3044,7,Fashionistas,2021-12-03
145115,TechCorp,Influencer,Women 35-44,30 days,Instagram,0.09,5165.0,5.83,Chicago,French,377,7895,2,Tech Enthusiasts,2021-07-29
96762,DataTech Solutions,Social Media,Women 35-44,30 days,Instagram,0.15,5011.0,3.16,New York,Spanish,639,2439,9,Outdoor Adventurers,2021-02-06
153368,NexGen Systems,Search,Women 35-44,60 days,YouTube,0.04,13398.0,2.88,Houston,French,181,7798,5,Foodies,2021-03-09
69029,TechCorp,Search,All Ages,60 days,Website,0.04,16360.0,3.79,Chicago,Spanish,532,9535,8,Foodies,2021-02-13
6683,Innovate Industries,Search,Men 25-34,30 days,Google Ads,0.04,17350.0,2.35,Los Angeles,English,303,3668,3,Outdoor Adventurers,2021-04-23
80570,NexGen Systems,Influencer,Women 25-34,15 days,Website,0.06,13003.0,5.35,New York,English,766,3750,5,Foodies,2021-09-27
146280,NexGen Systems,Influencer,All Ages,15 days,Instagram,0.12,18322.0,6.7,New York,French,267,3482,9,Tech Enthusiasts,2021-10-07
9571,NexGen Systems,Search,All Ages,60 days,Website,0.13,12443.0,6.75,Los Angeles,French,319,3080,3,Outdoor Adventurers,2021-03-22
138795,TechCorp,Social Media,Women 25-34,15 days,Facebook,0.07,13968.0,7.77,Miami,German,817,5733,6,Health & Wellness,2021-04-05
107075,Alpha Innovations,Display,Women 35-44,60 days,Google Ads,0.07,13257.0,5.57,Houston,Mandarin,324,8392,4,Outdoor Adventurers,2021-05-10
33645,NexGen Systems,Influencer,Men 18-24,60 days,Google Ads,0.04,16390.0,5.2,New York,English,222,2077,5,Fashionistas,2021-03-06
123496,NexGen Systems,Email,Women 25-34,45 days,Email,0.13,10457.0,5.93,Chicago,French,451,8619,10,Tech Enthusiasts,2021-05-06
174673,NexGen Systems,Search,Women 35-44,15 days,Email,0.09,17373.0,3.94,Los Angeles,German,457,6047,9,Tech Enthusiasts,2021-07-22
70580,Alpha Innovations,Social Media,All Ages,15 days,Instagram,0.11,13467.0,2.41,Chicago,Spanish,135,1275,3,Health & Wellness,2021-05-15
179456,TechCorp,Display,Women 25-34,15 days,Website,0.06,14314.0,2.73,Chicago,English,970,5790,10,Tech Enthusiasts,2021-08-29
2676,Innovate Industries,Email,Men 18-24,30 days,Google Ads,0.02,19121.0,2.28,Chicago,Mandarin,936,3392,9,Outdoor Adventurers,2021-05-01
3746,TechCorp,Influencer,Women 35-44,45 days,Instagram,0.15,8685.0,6.74,New York,Mandarin,683,5134,7,Foodies,2021-04-06
126839,DataTech Solutions,Social Media,Women 35-44,30 days,Instagram,0.09,18755.0,5.08,Miami,German,158,5370,5,Outdoor Adventurers,2021-07-03
185302,NexGen Systems,Email,All Ages,15 days,Facebook,0.15,7103.0,7.42,Chicago,French,971,6898,7,Fashionistas,2021-09-04
33839,Alpha Innovations,Display,All Ages,60 days,Website,0.08,11832.0,3.2,Houston,Mandarin,583,7899,9,Tech Enthusiasts,2021-09-16
52781,Alpha Innovations,Display,Women 25-34,45 days,Email,0.03,11561.0,4.15,New York,Mandarin,934,8525,1,Outdoor Adventurers,2021-08-09
161294,Innovate Industries,Display,Women 25-34,15 days,YouTube,0.02,11956.0,3.23,Houston,English,632,5231,1,Foodies,2021-11-25
121245,Alpha Innovations,Social Media,All Ages,45 days,Instagram,0.11,19471.0,6.09,Houston,English,615,1271,10,Tech Enthusiasts,2021-03-06
43737,Innovate Industries,Email,Men 18-24,30 days,YouTube,0.13,16041.0,4.59,Houston,German,526,7986,7,Health & Wellness,2021-10-29
141313,NexGen Systems,Influencer,Men 18-24,30 days,YouTube,0.02,11873.0,7.0,Houston,Mandarin,736,5996,2,Health & Wellness,2021-02-27
122530,TechCorp,Influencer,Men 25-34,45 days,Website,0.14,17664.0,6.24,New York,English,512,1787,6,Foodies,2021-09-12
147697,Innovate Industries,Influencer,Women 25-34,60 days,Email,0.07,10545.0,4.83,Houston,German,714,5173,2,Health & Wellness,2021-08-25
129029,Alpha Innovations,Email,All Ages,60 days,Website,0.1,12343.0,5.48,Houston,Spanish,802,2158,5,Fashionistas,2021-07-03
24357,TechCorp,Social Media,Women 25-34,15 days,YouTube,0.08,15283.0,2.78,Chicago,German,538,3843,4,Health & Wellness,2021-09-24
159378,DataTech Solutions,Influencer,Women 25-34,45 days,YouTube,0.02,13629.0,5.57,Los Angeles,English,538,4057,7,Outdoor Adventurers,2021-08-26
142052,Alpha Innovations,Social Media,Men 25-34,15 days,Facebook,0.11,14001.0,2.73,Chicago,Mandarin,110,1942,7,Fashionistas,2021-03-08
56900,TechCorp,Social Media,Women 25-34,30 days,Google Ads,0.13,18171.0,4.92,Chicago,German,967,1366,7,Tech Enthusiasts,2021-11-21
11674,Innovate Industries,Social Media,Men 18-24,15 days,Google Ads,0.05,13720.0,3.74,Miami,English,133,4785,6,Fashionistas,2021-12-25
14543,Innovate Industries,Email,Men 18-24,15 days,Google Ads,0.01,18658.0,2.62,New York,German,287,7183,8,Foodies,2021-11-04
44128,DataTech Solutions,Display,Women 25-34,60 days,Email,0.01,9873.0,7.05,Miami,Spanish,692,7204,2,Outdoor Adventurers,2021-11-24
33363,NexGen Systems,Influencer,All Ages,45 days,Website,0.1,19732.0,4.29,Houston,English,161,5977,1,Outdoor Adventurers,2021-05-28
85451,TechCorp,Search,Women 25-34,45 days,Instagram,0.01,19636.0,2.09,Miami,French,391,5481,5,Health & Wellness,2021-02-10
172703,TechCorp,Email,Women 35-44,30 days,Email,0.11,9981.0,7.18,Chicago,Mandarin,222,1603,2,Tech Enthusiasts,2021-02-27
12409,TechCorp,Email,Men 18-24,60 days,Website,0.05,15547.0,7.06,Miami,Mandarin,711,3641,6,Fashionistas,2021-12-30
182954,TechCorp,Social Media,Men 25-34,15 days,Google Ads,0.08,5970.0,5.16,Los Angeles,English,935,5219,7,Outdoor Adventurers,2021-03-30
107682,TechCorp,Search,Men 18-24,15 days,Website,0.05,18477.0,3.38,Houston,English,801,4617,10,Fashionistas,2021-01-07
152039,TechCorp,Search,Women 25-34,45 days,Email,0.12,19308.0,7.85,Chicago,Spanish,628,8795,2,Tech Enthusiasts,2021-07-18
192056,Innovate Industries,Display,All Ages,45 days,Website,0.13,5971.0,7.88,Los Angeles,Mandarin,407,1330,8,Outdoor Adventurers,2021-03-07
169962,NexGen Systems,Search,Women 25-34,30 days,Website,0.13,5403.0,7.76,Miami,German,708,6315,5,Foodies,2021-08-25
113761,NexGen Systems,Email,All Ages,15 days,Website,0.07,9350.0,7.86,Chicago,English,931,2939,7,Fashionistas,2021-09-03
62580,NexGen Systems,Influencer,Women 25-34,15 days,YouTube,0.12,12951.0,3.35,New York,German,130,2262,10,Foodies,2021-06-14
120596,NexGen Systems,Influencer,Men 18-24,30 days,Email,0.09,7976.0,6.02,Los Angeles,Spanish,490,9349,2,Foodies,2021-05-26
2003,DataTech Solutions,Search,All Ages,30 days,YouTube,0.13,17916.0,6.04,New York,German,797,9976,2,Fashionistas,2021-06-27
67775,TechCorp,Email,Men 25-34,30 days,Instagram,0.03,18976.0,2.25,New York,Spanish,414,1061,3,Foodies,2021-09-07
100678,Innovate Industries,Social Media,Men 18-24,15 days,Email,0.09,14995.0,6.41,New York,French,566,6686,9,Tech Enthusiasts,2021-10-30
141970,NexGen Systems,Email,Women 35-44,30 days,Google Ads,0.06,7394.0,7.19,Miami,Spanish,433,4012,7,Foodies,2021-12-16
173668,Innovate Industries,Search,Men 25-34,15 days,Facebook,0.04,14701.0,6.47,New York,English,481,9392,10,Foodies,2021-10-20
107245,Innovate Industries,Social Media,Men 25-34,15 days,Email,0.13,19675.0,3.14,Houston,Mandarin,925,5147,1,Fashionistas,2021-10-27
115627,Innovate Industries,Social Media,Women 35-44,30 days,Website,0.02,15365.0,5.96,New York,German,868,2281,3,Health & Wellness,2021-10-14
39480,TechCorp,Display,Women 25-34,45 days,Google Ads,0.02,17051.0,2.47,Los Angeles,French,657,4401,4,Outdoor Adventurers,2021-03-01
178621,Innovate Industries,Social Media,Men 18-24,30 days,Google Ads,0.13,8790.0,7.87,New York,English,962,5948,10,Foodies,2021-05-16
181149,DataTech Solutions,Display,Men 18-24,45 days,Website,0.03,12592.0,3.15,Miami,Spanish,392,7254,1,Foodies,2021-04-19
37470,TechCorp,Social Media,Men 25-34,45 days,Website,0.03,17655.0,7.43,Chicago,Spanish,126,2887,6,Foodies,2021-08-28
113698,NexGen Systems,Display,Women 25-34,60 days,Website,0.13,5891.0,6.17,Los Angeles,Spanish,923,3469,10,Fashionistas,2021-07-02
155350,Alpha Innovations,Social Media,Women 25-34,30 days,YouTube,0.07,6064.0,4.83,Houston,Mandarin,539,1093,2,Foodies,2021-08-13
183788,NexGen Systems,Display,All Ages,30 days,Facebook,0.12,15405.0,7.54,Houston,French,155,8676,5,Outdoor Adventurers,2021-07-12
140994,Alpha Innovations,Social Media,Women 35-44,45 days,Google Ads,0.13,17745.0,3.14,Chicago,French,757,3378,5,Fashionistas,2021-04-14
193734,Innovate Industries,Email,All Ages,15 days,Website,0.05,12799.0,6.92,Miami,English,242,8055,9,Fashionistas,2021-10-11
140571,Alpha Innovations,Email,All Ages,60 days,Website,0.1,10441.0,7.1,Chicago,German,520,1587,2,Fashionistas,2021-02-15
70505,TechCorp,Email,Women 35-44,45 days,Website,0.02,8672.0,5.1,Chicago,English,508,7949,8,Outdoor Adventurers,2021-03-01
101936,Alpha Innovations,Email,Women 25-34,15 days,Facebook,0.03,11449.0,3.21,Miami,English,105,4445,5,Fashionistas,2021-04-11
78058,TechCorp,Email,Women 35-44,45 days,Facebook,0.02,18271.0,3.08,New York,German,448,2891,8,Outdoor Adventurers,2021-11-09
101239,TechCorp,Email,Men 18-24,15 days,Google Ads,0.14,11275.0,7.85,Houston,Spanish,245,2345,10,Health & Wellness,2021-05-14
117569,Innovate Industries,Email,All Ages,15 days,Email,0.09,10741.0,4.34,Miami,Spanish,569,3865,10,Health & Wellness,2021-02-08
41269,DataTech Solutions,Search,Men 18-24,60 days,Instagram,0.06,15082.0,3.23,Chicago,German,829,2968,7,Health & Wellness,2021-01-24
51624,Alpha Innovations,Social Media,Women 25-34,15 days,Google Ads,0.02,10022.0,3.18,Chicago,Mandarin,650,7081,9,Outdoor Adventurers,2021-06-08
121774,NexGen Systems,Display,Men 18-24,15 days,Facebook,0.04,11374.0,6.23,New York,English,440,4798,1,Health & Wellness,2021-08-17
31070,TechCorp,Email,Women 25-34,30 days,Instagram,0.14,13977.0,5.59,Houston,French,929,7925,1,Outdoor Adventurers,2021-02-14
152849,NexGen Systems,Search,All Ages,45 days,YouTube,0.13,5644.0,5.56,Chicago,English,635,8257,7,Outdoor Adventurers,2021-10-06
165500,Alpha Innovations,Search,All Ages,15 days,Google Ads,0.05,13852.0,3.32,Houston,Spanish,484,3760,5,Outdoor Adventurers,2021-06-04
134684,Alpha Innovations,Display,All Ages,30 days,Google Ads,0.13,11799.0,3.17,Miami,German,978,8626,5,Foodies,2021-12-30
168490,NexGen Systems,Email,Women 25-34,45 days,Google Ads,0.02,15342.0,2.35,Chicago,Spanish,391,7717,2,Fashionistas,2021-08-13
149024,TechCorp,Search,Men 18-24,60 days,Facebook,0.03,8783.0,4.2,Los Angeles,English,499,5542,8,Fashionistas,2021-04-14
1854,DataTech Solutions,Social Media,Women 35-44,45 days,Email,0.14,5482.0,7.78,Los Angeles,Mandarin,418,8584,7,Tech Enthusiasts,2021-01-29
108865,NexGen Systems,Social Media,Women 35-44,15 days,YouTube,0.14,13318.0,5.51,Houston,Mandarin,695,9595,3,Foodies,2021-04-05
33043,NexGen Systems,Influencer,All Ages,30 days,YouTube,0.04,12008.0,7.47,Los Angeles,English,478,9492,4,Tech Enthusiasts,2021-07-12
103759,Alpha Innovations,Email,Women 35-44,30 days,YouTube,0.1,12232.0,5.55,Miami,Mandarin,644,9678,5,Foodies,2021-04-09
24500,Alpha Innovations,Search,Men 25-34,15 days,Email,0.09,12118.0,6.24,Houston,Spanish,535,1607,6,Foodies,2021-02-14
37184,DataTech Solutions,Social Media,Women 25-34,15 days,Instagram,0.15,11529.0,3.69,Houston,German,743,9112,9,Health & Wellness,2021-11-15
141648,DataTech Solutions,Social Media,Women 35-44,60 days,YouTube,0.12,6903.0,4.6,Houston,German,181,9655,8,Health & Wellness,2021-01-28
93811,NexGen Systems,Display,Women 25-34,45 days,YouTube,0.1,19467.0,7.39,Miami,French,847,4861,7,Health & Wellness,2021-01-06
6030,Alpha Innovations,Display,Women 25-34,45 days,YouTube,0.13,5438.0,4.52,Chicago,Mandarin,806,5346,4,Fashionistas,2021-07-09
169151,Alpha Innovations,Social Media,Women 25-34,60 days,Facebook,0.08,5119.0,4.72,Miami,Spanish,246,6845,3,Foodies,2021-06-05
167515,Alpha Innovations,Social Media,Men 25-34,45 days,YouTube,0.07,18184.0,6.89,Chicago,French,155,5711,9,Fashionistas,2021-12-11
126671,NexGen Systems,Social Media,Women 25-34,15 days,Website,0.04,8715.0,3.4,New York,Mandarin,680,2563,3,Foodies,2021-01-16
